word,level
yesterday,A1
percent,A2
ability,A2
accident,A2
advantage,A2
adventure,A2
advertisement,A2
advertising,A2
airline,A2
alternative,A2
amount,A2
ankle,A2
app,A2
appearance,A2
architect,A2
architecture,A2
argument,A2
army,A2
arrangement,A2
assistant,A2
athlete,A2
attack,A2
attention,A2
audience,A2
author,A2
average,A2
award,A2
background,A2
bar,A2
baseball,A2
basketball,A2
bean,A2
bear,A2
beef,A2
behaviour,A2
belt,A2
benefit,A2
best,A2
bin,A2
biology,A2
birth,A2
biscuit,A2
bit,A2
blank,A2
blood,A2
board,A2
bone,A2
boss,A2
bottom,A2
bowl,A2
brain,A2
bridge,A2
brush,A2
businessman,A2
button,A2
camp,A2
camping,A2
can,A2
care,A2
carpet,A2
cartoon,A2
case,A2
cash,A2
castle,A2
cause,A2
celebrity,A2
chance,A2
character,A2
charity,A2
chat,A2
check,A2
chef,A2
chemistry,A2
chip,A2
choice,A2
church,A2
cigarette,A2
circle,A2
climate,A2
clothing,A2
cloud,A2
coach,A2
coast,A2
code,A2
colleague,A2
column,A2
comedy,A2
comment,A2
community,A2
competition,A2
condition,A2
conference,A2
context,A2
continent,A2
control,A2
cook,A2
cooker,A2
copy,A2
corner,A2
couple,A2
credit,A2
crime,A2
criminal,A2
cross,A2
crowd,A2
cupboard,A2
cycle,A2
danger,A2
dark,A2
data,A2
death,A2
decision,A2
degree,A2
dentist,A2
department,A2
desert,A2
designer,A2
detective,A2
device,A2
diary,A2
direction,A2
director,A2
disaster,A2
discovery,A2
discussion,A2
disease,A2
distance,A2
document,A2
download,A2
drama,A2
drawing,A2
dream,A2
drive,A2
driving,A2
drug,A2
earth,A2
education,A2
effect,A2
electricity,A2
employee,A2
employer,A2
ending,A2
energy,A2
engine,A2
engineer,A2
environment,A2
equipment,A2
error,A2
essay,A2
evidence,A2
experience,A2
experiment,A2
expert,A2
explanation,A2
expression,A2
factor,A2
factory,A2
fall,A2
fan,A2
farming,A2
fashion,A2
fat,A2
fear,A2
feature,A2
female,A2
fiction,A2
field,A2
fight,A2
figure,A2
final,A2
finger,A2
finish,A2
first,A2
fishing,A2
flu,A2
fly,A2
flying,A2
focus,A2
forest,A2
fork,A2
fridge,A2
frog,A2
furniture,A2
gallery,A2
gap,A2
gas,A2
gate,A2
gift,A2
goal,A2
god,A2
gold,A2
golf,A2
good,A2
government,A2
grass,A2
ground,A2
guest,A2
guide,A2
gun,A2
guy,A2
habit,A2
hall,A2
headache,A2
heart,A2
heat,A2
height,A2
hero,A2
hill,A2
hit,A2
hockey,A2
hole,A2
hope,A2
human,A2
illness,A2
image,A2
increase,A2
individual,A2
industry,A2
injury,A2
insect,A2
inside,A2
instruction,A2
instructor,A2
instrument,A2
introduction,A2
invention,A2
invitation,A2
item,A2
jam,A2
jazz,A2
jewellery,A2
joke,A2
journalist,A2
jump,A2
kid,A2
king,A2
knee,A2
knife,A2
knowledge,A2
lab,A2
lady,A2
lake,A2
lamp,A2
laptop,A2
last,A2
laughter,A2
law,A2
lawyer,A2
leader,A2
learning,A2
lecture,A2
lemon,A2
level,A2
lifestyle,A2
lift,A2
link,A2
listener,A2
lock,A2
look,A2
lorry,A2
luck,A2
mail,A2
male,A2
manager,A2
manner,A2
mark,A2
material,A2
mathematics,A2
maths,A2
matter,A2
media,A2
medicine,A2
memory,A2
metal,A2
method,A2
middle,A2
mind,A2
mirror,A2
mobile,A2
monkey,A2
moon,A2
motorcycle,A2
movement,A2
musician,A2
nature,A2
neck,A2
need,A2
network,A2
noise,A2
notice,A2
novel,A2
nut,A2
ocean,A2
offer,A2
officer,A2
oil,A2
opportunity,A2
option,A2
organization,A2
outside,A2
oven,A2
owner,A2
pain,A2
painter,A2
palace,A2
pants,A2
parking,A2
passenger,A2
patient,A2
pattern,A2
pay,A2
peace,A2
penny,A2
permission,A2
personality,A2
pet,A2
petrol,A2
physics,A2
pilot,A2
planet,A2
plastic,A2
plate,A2
platform,A2
pocket,A2
pollution,A2
pop,A2
population,A2
position,A2
possession,A2
possibility,A2
poster,A2
power,A2
president,A2
printer,A2
prison,A2
prize,A2
process,A2
professor,A2
profile,A2
program,A2
progress,A2
promise,A2
pub,A2
public,A2
purpose,A2
quality,A2
quantity,A2
queen,A2
race,A2
railway,A2
rate,A2
reception,A2
recipe,A2
record,A2
recording,A2
region,A2
relationship,A2
reply,A2
reporter,A2
request,A2
research,A2
researcher,A2
response,A2
rest,A2
review,A2
ride,A2
ring,A2
rock,A2
role,A2
roof,A2
route,A2
rubbish,A2
run,A2
runner,A2
running,A2
sailing,A2
salary,A2
sale,A2
sauce,A2
